施策名,配布部数,総費用（税抜）,印刷費（税抜）,配布費（税抜）,配布開始日,デザイン,デザインリンク,クーポン,合計注文件数,初回購入人数（配布開始から90日以内／配達完了のみ）,2回目購入人数,合計利用クーポン額,合計購入単価,初回購入人数（配布開始から90日以内／キャンセル含む）,グロス費用,CPA
2025.1月大規模ポスティング,"12,500","82,500","23,750","58,750",2025/1/1,suica風_6800_120×72,https://drive.google.com/drive/folders/1d8pdUVFcBmdUYGBbd0AKi9ipBj9UtE3u,PVEN_CNTJ59,,,,,,,"103,125",
2025.1月大規模ポスティング,"11,000","72,600","20,900","51,700",2025/1/1,suica風_6800_120×72,https://drive.google.com/drive/folders/1d8pdUVFcBmdUYGBbd0AKi9ipBj9UtE3u,PVEN_SPQK95,,,,,,,"90,750",
2025.1月大規模ポスティング,"10,500","69,300","19,950","49,350",2025/1/1,suica風_6800_120×72,https://drive.google.com/drive/folders/1d8pdUVFcBmdUYGBbd0AKi9ipBj9UtE3u,PVEN_HWGP89,,,,,,,"86,625",
2025.1月大規模ポスティング,"10,000","66,000","19,000","47,000",2025/1/1,suica風_6800_120×72,https://drive.google.com/drive/folders/1d8pdUVFcBmdUYGBbd0AKi9ipBj9UtE3u,PVEN_DTPK57,,,,,,,"82,500",
2025.1月大規模ポスティング,"8,000","52,800","15,200","37,600",2025/1/1,suica風_6800_120×72,https://drive.google.com/drive/folders/1d8pdUVFcBmdUYGBbd0AKi9ipBj9UtE3u,PVEN_BKJA29,,,,,,,"66,000",
2025.1月大規模ポスティング,"7,500","49,500","14,250","35,250",2025/1/1,suica風_6800_120×72,https://drive.google.com/drive/folders/1d8pdUVFcBmdUYGBbd0AKi9ipBj9UtE3u,PVEN_THAV63,,,,,,,"61,875",
2025.1月大規模ポスティング,"6,500","42,900","12,350","30,550",2025/1/1,suica風_6800_120×72,https://drive.google.com/drive/folders/1d8pdUVFcBmdUYGBbd0AKi9ipBj9UtE3u,PVEN_DBKU78,,,,,,,"53,625",
2025.1月大規模ポスティング,"4,500","29,700","8,550","21,150",2025/1/1,suica風_6800_120×72,https://drive.google.com/drive/folders/1d8pdUVFcBmdUYGBbd0AKi9ipBj9UtE3u,PVEN_PTQG97,,,,,,,"37,125",
2025.1月大規模ポスティング,"4,000","26,400","7,600","18,800",2025/1/1,suica風_6800_120×72,https://drive.google.com/drive/folders/1d8pdUVFcBmdUYGBbd0AKi9ipBj9UtE3u,PVEN_DNLW72,,,,,,,"33,000",
2025.1月大規模ポスティング,"2,000","13,200","3,800","9,400",2025/1/1,suica風_6800_120×72,https://drive.google.com/drive/folders/1d8pdUVFcBmdUYGBbd0AKi9ipBj9UtE3u,PVEN_CAJN67,,,,,,,"16,500",
2025.1月大規模ポスティング,"1,000","6,600","1,900","4,700",2025/1/1,suica風_6800_120×72,https://drive.google.com/drive/folders/1d8pdUVFcBmdUYGBbd0AKi9ipBj9UtE3u,PVEN_UGNC45,,,,,,,"8,250",
2025.1月大規模ポスティング,"9,500","62,700","18,050","44,650",2025/1/1,suica風_6800_120×72,https://drive.google.com/drive/folders/1d8pdUVFcBmdUYGBbd0AKi9ipBj9UtE3u,PVEN_UMWK28,,,,,,,"78,375",
2025.1月大規模ポスティング,"11,000","97,900","46,200","51,700",2025/1/1,スクラッチビンゴ_6800_72×120,https://drive.google.com/drive/folders/1q4dUZDhZpWWBhL5rqfkZh7J4S9FqDTB5,PVEN_DSTL48,,,,,,,"122,375",
